"","Movies_Title","Released_Year","Certificate","Runtime","Genre","IMDB_Rating","Meta_score","Director","Star1","Star2","Star3","Star4","No_of_Votes","Gross","ID","IMDB_Rating_mod","Meta_score_mod"
"979","Planes, Trains & Automobiles",1987,"U",93,"Comedy",7.6,72,"John Hughes","Steve Martin","John Candy","Laila Robins","Michael McKean",124773,49530280,979,"7.5-8","B+"
"980","Lethal Weapon",1987,"A",109,"Action",7.6,68,"Richard Donner","Mel Gibson","Danny Glover","Gary Busey","Mitchell Ryan",236894,65207127,980,"7.5-8","B"
"981","Blood Simple",1984,"A",99,"Crime",7.6,82,"Joel Coen","Ethan Coen","John Getz","Frances McDormand","Dan Hedaya",87745,2150000,981,"7.5-8","B+"
"982","On Golden Pond",1981,"UA",109,"Drama",7.6,68,"Mark Rydell","Katharine Hepburn","Henry Fonda","Jane Fonda","Doug McKeon",27650,119285432,982,"7.5-8","B"
"983","Mad Max 2",1981,"A",96,"Action",7.6,77,"George Miller","Mel Gibson","Bruce Spence","Michael Preston","Max Phipps",166588,12465371,983,"7.5-8","B+"
"984","The Warriors",1979,"UA",92,"Action",7.6,65,"Walter Hill","Michael Beck","James Remar","Dorsey Wright","Brian Tyler",93878,22490039,984,"7.5-8","B"
"985","The Muppet Movie",1979,"U",95,"Adventure",7.6,74,"James Frawley","Jim Henson","Frank Oz","Jerry Nelson","Richard Hunt",32802,76657000,985,"7.5-8","B+"
"986","Escape from Alcatraz",1979,"A",112,"Action",7.6,76,"Don Siegel","Clint Eastwood","Patrick McGoohan","Roberts Blossom","Jack Thibeau",121731,4.3e+07,986,"7.5-8","B+"
"987","Watership Down",1978,"U",91,"Animation",7.6,64,"Martin Rosen","John Hubley","John Hurt","Richard Briers","Ralph Richardson",33656,23530892,987,"7.5-8","B"
"988","Midnight Express",1978,"A",121,"Biography",7.6,59,"Alan Parker","Brad Davis","Irene Miracle","Bo Hopkins","Paolo Bonacelli",73662,3.5e+07,988,"7.5-8","B"
"989","Close Encounters of the Third Kind",1977,"U",138,"Drama",7.6,90,"Steven Spielberg","Richard Dreyfuss","François Truffaut","Teri Garr","Melinda Dillon",184966,132088635,989,"7.5-8","A"
"990","The Long Goodbye",1973,"A",112,"Comedy",7.6,87,"Robert Altman","Elliott Gould","Nina van Pallandt","Sterling Hayden","Mark Rydell",26337,959000,990,"7.5-8","A"
"991","Giù la testa",1971,"PG",157,"Drama",7.6,77,"Sergio Leone","Rod Steiger","James Coburn","Romolo Valli","Maria Monti",30144,696690,991,"7.5-8","B+"
"992","Kelly's Heroes",1970,"GP",144,"Adventure",7.6,50,"Brian G. Hutton","Clint Eastwood","Telly Savalas","Don Rickles","Carroll O'Connor",45338,1378435,992,"7.5-8","C"
"993","The Jungle Book",1967,"U",78,"Animation",7.6,65,"Wolfgang Reitherman","Phil Harris","Sebastian Cabot","Louis Prima","Bruce Reitherman",166409,141843612,993,"7.5-8","B"
"994","Blowup",1966,"A",111,"Drama",7.6,82,"Michelangelo Antonioni","David Hemmings","Vanessa Redgrave","Sarah Miles","John Castle",56513,23530892,994,"7.5-8","B+"
"995","A Hard Day's Night",1964,"U",87,"Comedy",7.6,96,"Richard Lester","John Lennon","Paul McCartney","George Harrison","Ringo Starr",40351,13780024,995,"7.5-8","A"
"996","Breakfast at Tiffany's",1961,"A",115,"Comedy",7.6,76,"Blake Edwards","Audrey Hepburn","George Peppard","Patricia Neal","Buddy Ebsen",166544,23530892,996,"7.5-8","B+"
"997","Giant",1956,"G",201,"Drama",7.6,84,"George Stevens","Elizabeth Taylor","Rock Hudson","James Dean","Carroll Baker",34075,23530892,997,"7.5-8","B+"
"998","From Here to Eternity",1953,"Passed",118,"Drama",7.6,85,"Fred Zinnemann","Burt Lancaster","Montgomery Clift","Deborah Kerr","Donna Reed",43374,30500000,998,"7.5-8","B+"
"999","Lifeboat",1944,"Not rated",97,"Drama",7.6,78,"Alfred Hitchcock","Tallulah Bankhead","John Hodiak","Walter Slezak","William Bendix",26471,23530892,999,"7.5-8","B+"
"1000","The 39 Steps",1935,"Not rated",86,"Crime",7.6,93,"Alfred Hitchcock","Robert Donat","Madeleine Carroll","Lucie Mannheim","Godfrey Tearle",51853,23530892,1000,"7.5-8","A"
