"","Movies_Title","Released_Year","Certificate","Runtime","Genre","IMDB_Rating","Meta_score","Director","Star1","Star2","Star3","Star4","No_of_Votes","Gross","ID","IMDB_Rating_mod","Meta_score_mod"
"322","Das Cabinet des Dr. Caligari",1920,"Not rated",76,"Fantasy",8.1,79,"Robert Wiene","Werner Krauss","Conrad Veidt","Friedrich Feher","Lil Dagover",57428,23530892,322,"8-8.5","B+"
"323","Badhaai ho",2018,"UA",124,"Comedy",8,79,"Amit Ravindernath Sharma","Ayushmann Khurrana","Neena Gupta","Gajraj Rao","Sanya Malhotra",27978,23530892,323,"7.5-8","B+"
"324","Togo",2019,"U",113,"Adventure",8,69,"Ericson Core","Willem Dafoe","Julianne Nicholson","Christopher Heyerdahl","Richard Dormer",37556,23530892,324,"7.5-8","B"
"325","Airlift",2016,"UA",130,"Drama",8,79,"Raja Menon","Akshay Kumar","Nimrat Kaur","Kumud Mishra","Prakash Belawadi",52897,23530892,325,"7.5-8","B+"
"326","Bajrangi Bhaijaan",2015,"UA",163,"Action",8,79,"Kabir Khan","Salman Khan","Harshaali Malhotra","Nawazuddin Siddiqui","Kareena Kapoor",72245,8178001,326,"7.5-8","B+"
"327","Baby",2015,"UA",159,"Action",8,79,"Neeraj Pandey","Akshay Kumar","Danny Denzongpa","Rana Daggubati","Taapsee Pannu",52848,23530892,327,"7.5-8","B+"
"328","La La Land",2016,"A",128,"Comedy",8,94,"Damien Chazelle","Ryan Gosling","Emma Stone","Rosemarie DeWitt","J.K. Simmons",505918,151101803,328,"7.5-8","A"
"329","Lion",2016,"U",118,"Biography",8,69,"Garth Davis","Dev Patel","Nicole Kidman","Rooney Mara","Sunny Pawar",213970,51739495,329,"7.5-8","B"
"330","The Martian",2015,"UA",144,"Adventure",8,80,"Ridley Scott","Matt Damon","Jessica Chastain","Kristen Wiig","Kate Mara",760094,228433663,330,"7.5-8","B+"
"331","Zootopia",2016,"U",108,"Animation",8,78,"Byron Howard","Rich Moore","Jared Bush","Ginnifer Goodwin","Jason Bateman",434143,341268248,331,"7.5-8","B+"
"332","Bãhubali: The Beginning",2015,"UA",159,"Action",8,79,"S.S. Rajamouli","Prabhas","Rana Daggubati","Ramya Krishnan","Sathyaraj",102972,6738000,332,"7.5-8","B+"
"333","Kaguyahime no monogatari",2013,"U",137,"Animation",8,89,"Isao Takahata","Chloë Grace Moretz","James Caan","Mary Steenburgen","James Marsden",38746,1506975,333,"7.5-8","A"
"334","Wonder",2017,"U",113,"Drama",8,66,"Stephen Chbosky","Jacob Tremblay","Owen Wilson","Izabela Vidovic","Julia Roberts",141923,132422809,334,"7.5-8","B"
"335","Gully Boy",2019,"UA",154,"Drama",8,65,"Zoya Akhtar","Vijay Varma","Nakul Roshan Sahdev","Ranveer Singh","Vijay Raaz",31886,5566534,335,"7.5-8","B"
"336","Special Chabbis",2013,"UA",144,"Crime",8,79,"Neeraj Pandey","Akshay Kumar","Anupam Kher","Manoj Bajpayee","Jimmy Sheirgill",51069,1079369,336,"7.5-8","B+"
"337","Short Term 12",2013,"R",96,"Drama",8,82,"Destin Daniel Cretton","Brie Larson","Frantz Turner","John Gallagher Jr.","Kaitlyn Dever",81770,1010414,337,"7.5-8","B+"
"338","Serbuan maut 2: Berandal",2014,"A",150,"Action",8,71,"Gareth Evans","Iko Uwais","Yayan Ruhian","Arifin Putra","Oka Antara",114316,2625803,338,"7.5-8","B"
"339","The Imitation Game",2014,"UA",114,"Biography",8,73,"Morten Tyldum","Benedict Cumberbatch","Keira Knightley","Matthew Goode","Allen Leech",685201,91125683,339,"7.5-8","B+"
"340","Guardians of the Galaxy",2014,"UA",121,"Action",8,76,"James Gunn","Chris Pratt","Vin Diesel","Bradley Cooper","Zoe Saldana",1043455,333176600,340,"7.5-8","B+"
"341","Blade Runner 2049",2017,"UA",164,"Action",8,81,"Denis Villeneuve","Harrison Ford","Ryan Gosling","Ana de Armas","Dave Bautista",461823,92054159,341,"7.5-8","B+"
"342","Her",2013,"A",126,"Drama",8,90,"Spike Jonze","Joaquin Phoenix","Amy Adams","Scarlett Johansson","Rooney Mara",540772,25568251,342,"7.5-8","A"
"343","Bohemian Rhapsody",2018,"UA",134,"Biography",8,49,"Bryan Singer","Rami Malek","Lucy Boynton","Gwilym Lee","Ben Hardy",450349,216428042,343,"7.5-8","C"
"344","The Revenant",2015,"A",156,"Action",8,76,"Alejandro G. Iñárritu","Leonardo DiCaprio","Tom Hardy","Will Poulter","Domhnall Gleeson",705589,183637894,344,"7.5-8","B+"
"345","The Perks of Being a Wallflower",2012,"UA",103,"Drama",8,67,"Stephen Chbosky","Logan Lerman","Emma Watson","Ezra Miller","Paul Rudd",462252,17738570,345,"7.5-8","B"
"346","Tropa de Elite 2: O Inimigo Agora é Outro",2010,"Not rated",115,"Action",8,71,"José Padilha","Wagner Moura","Irandhir Santos","André Ramiro","Milhem Cortaz",79200,100119,346,"7.5-8","B"
"347","The King's Speech",2010,"U",118,"Biography",8,88,"Tom Hooper","Colin Firth","Geoffrey Rush","Helena Bonham Carter","Derek Jacobi",639603,138797449,347,"7.5-8","A"
"348","The Help",2011,"UA",146,"Drama",8,62,"Tate Taylor","Emma Stone","Viola Davis","Octavia Spencer","Bryce Dallas Howard",428521,169708112,348,"7.5-8","B"
"349","Deadpool",2016,"R",108,"Action",8,65,"Tim Miller","Ryan Reynolds","Morena Baccarin","T.J. Miller","Ed Skrein",902669,363070709,349,"7.5-8","B"
"350","Darbareye Elly",2009,"TV-PG",119,"Drama",8,87,"Asghar Farhadi","Golshifteh Farahani","Shahab Hosseini","Taraneh Alidoosti","Merila Zare'i",45803,106662,350,"7.5-8","A"
"351","Dev.D",2009,"A",144,"Drama",8,79,"Anurag Kashyap","Abhay Deol","Mahie Gill","Kalki Koechlin","Dibyendu Bhattacharya",28749,10950,351,"7.5-8","B+"
"352","Yip Man",2008,"R",106,"Action",8,59,"Wilson Yip","Donnie Yen","Simon Yam","Siu-Wong Fan","Ka Tung Lam",211427,23530892,352,"7.5-8","B"
"353","My Name Is Khan",2010,"UA",165,"Drama",8,50,"Karan Johar","Shah Rukh Khan","Kajol","Sheetal Menon","Katie A. Keane",98575,4018695,353,"7.5-8","C"
"354","Nefes: Vatan Sagolsun",2009,"Not rated",128,"Action",8,79,"Levent Semerci","Erdem Can","Mete Horozoglu","Ilker Kizmaz","Baris Bagci",31838,23530892,354,"7.5-8","B+"
"355","Slumdog Millionaire",2008,"UA",120,"Drama",8,84,"Danny Boyle","Loveleen Tandan","Dev Patel","Freida Pinto","Saurabh Shukla",798882,141319928,355,"7.5-8","B+"
"356","Black Swan",2010,"A",108,"Drama",8,79,"Darren Aronofsky","Natalie Portman","Mila Kunis","Vincent Cassel","Winona Ryder",699673,106954678,356,"7.5-8","B+"
"357","Tropa de Elite",2007,"R",115,"Action",8,33,"José Padilha","Wagner Moura","André Ramiro","Caio Junqueira","Milhem Cortaz",98097,8060,357,"7.5-8","F"
"358","The Avengers",2012,"UA",143,"Action",8,69,"Joss Whedon","Robert Downey Jr.","Chris Evans","Scarlett Johansson","Jeremy Renner",1260806,623279547,358,"7.5-8","B"
"359","Persepolis",2007,"PG-13",96,"Animation",8,90,"Vincent Paronnaud","Marjane Satrapi","Chiara Mastroianni","Catherine Deneuve","Gena Rowlands",88656,4445756,359,"7.5-8","A"
"360","Dallas Buyers Club",2013,"R",117,"Biography",8,80,"Jean-Marc Vallée","Matthew McConaughey","Jennifer Garner","Jared Leto","Steve Zahn",441614,27298285,360,"7.5-8","B+"
"361","The Pursuit of Happyness",2006,"U",117,"Biography",8,64,"Gabriele Muccino","Will Smith","Thandie Newton","Jaden Smith","Brian Howe",448930,163566459,361,"7.5-8","B"
"362","Blood Diamond",2006,"A",143,"Adventure",8,64,"Edward Zwick","Leonardo DiCaprio","Djimon Hounsou","Jennifer Connelly","Kagiso Kuypers",499439,57366262,362,"7.5-8","B"
"363","The Bourne Ultimatum",2007,"UA",115,"Action",8,85,"Paul Greengrass","Matt Damon","Edgar Ramírez","Joan Allen","Julia Stiles",604694,227471070,363,"7.5-8","B+"
"364","Bin-jip",2004,"U",88,"Crime",8,72,"Ki-duk Kim","Seung-Yun Lee","Hee Jae","Hyuk-ho Kwon","Jin-mo Joo",50610,238507,364,"7.5-8","B+"
"365","Sin City",2005,"A",124,"Crime",8,74,"Frank Miller","Quentin Tarantino","Robert Rodriguez","Mickey Rourke","Clive Owen",738512,74103820,365,"7.5-8","B+"
"366","Le scaphandre et le papillon",2007,"PG-13",112,"Biography",8,92,"Julian Schnabel","Laura Obiols","Mathieu Amalric","Emmanuelle Seigner","Marie-Josée Croze",103284,5990075,366,"7.5-8","A"
"367","G.O.R.A.",2004,"Not rated",127,"Adventure",8,79,"Ömer Faruk Sorak","Cem Yilmaz","Özge Özberk","Ozan Güven","Safak Sezer",56960,23530892,367,"7.5-8","B+"
"368","Ratatouille",2007,"U",111,"Animation",8,96,"Brad Bird","Jan Pinkava","Brad Garrett","Lou Romano","Patton Oswalt",641645,206445654,368,"7.5-8","A"
"369","Casino Royale",2006,"PG-13",144,"Action",8,80,"Martin Campbell","Daniel Craig","Eva Green","Judi Dench","Jeffrey Wright",582239,167445960,369,"7.5-8","B+"
"370","Kill Bill: Vol. 2",2004,"A",137,"Action",8,83,"Quentin Tarantino","Uma Thurman","David Carradine","Michael Madsen","Daryl Hannah",683900,66208183,370,"7.5-8","B+"
"371","Vozvrashchenie",2003,"Not rated",110,"Drama",8,82,"Andrey Zvyagintsev","Vladimir Garin","Ivan Dobronravov","Konstantin Lavronenko","Nataliya Vdovina",42399,502028,371,"7.5-8","B+"
"372","Bom Yeoareum Gaeul Gyeoul Geurigo Bom",2003,"R",103,"Drama",8,85,"Ki-duk Kim","Ki-duk Kim","Yeong-su Oh","Jong-ho Kim","Kim Young-Min",77520,2380788,372,"7.5-8","B+"
"373","Mar adentro",2014,"U",126,"Biography",8,74,"Alejandro Amenábar","Javier Bardem","Belén Rueda","Lola Dueñas","Mabel Rivera",77554,2086345,373,"7.5-8","B+"
"374","Cinderella Man",2005,"UA",144,"Biography",8,69,"Ron Howard","Russell Crowe","Renée Zellweger","Craig Bierko","Paul Giamatti",176151,61649911,374,"7.5-8","B"
"375","Kal Ho Naa Ho",2003,"U",186,"Comedy",8,54,"Nikkhil Advani","Preity Zinta","Shah Rukh Khan","Saif Ali Khan","Jaya Bachchan",63460,1787378,375,"7.5-8","C"
"376","Mou gaan dou",2002,"UA",101,"Action",8,75,"Andrew Lau","Alan Mak","Andy Lau","Tony Chiu-Wai Leung","Anthony Chau-Sang Wong",117857,169659,376,"7.5-8","B+"
"377","Pirates of the Caribbean: The Curse of the Black Pearl",2003,"UA",143,"Action",8,63,"Gore Verbinski","Johnny Depp","Geoffrey Rush","Orlando Bloom","Keira Knightley",1015122,305413918,377,"7.5-8","B"
"378","Big Fish",2003,"U",125,"Adventure",8,58,"Tim Burton","Ewan McGregor","Albert Finney","Billy Crudup","Jessica Lange",415218,66257002,378,"7.5-8","B"
"379","The Incredibles",2004,"U",115,"Animation",8,90,"Brad Bird","Craig T. Nelson","Samuel L. Jackson","Holly Hunter","Jason Lee",657047,261441092,379,"7.5-8","A"
"380","Yeopgijeogin geunyeo",2001,"Not rated",137,"Comedy",8,79,"Jae-young Kwak","Tae-Hyun Cha","Jun Ji-Hyun","In-mun Kim","Song Wok-suk",45403,23530892,380,"7.5-8","B+"
"381","Dogville",2003,"R",178,"Crime",8,60,"Lars von Trier","Nicole Kidman","Paul Bettany","Lauren Bacall","Harriet Andersson",137963,1530386,381,"7.5-8","B"
"382","Vizontele",2001,"Not rated",110,"Comedy",8,79,"Yilmaz Erdogan","Ömer Faruk Sorak","Yilmaz Erdogan","Demet Akbag","Altan Erkekli",33592,23530892,382,"7.5-8","B+"
"383","Donnie Darko",2001,"R",113,"Drama",8,88,"Richard Kelly","Jake Gyllenhaal","Jena Malone","Mary McDonnell","Holmes Osborne",740086,1480006,383,"7.5-8","A"
"384","Magnolia",1999,"R",188,"Drama",8,77,"Paul Thomas Anderson","Tom Cruise","Jason Robards","Julianne Moore","Philip Seymour Hoffman",289742,22455976,384,"7.5-8","B+"
"385","Dancer in the Dark",2000,"U",140,"Crime",8,61,"Lars von Trier","Björk","Catherine Deneuve","David Morse","Peter Stormare",102285,4184036,385,"7.5-8","B"
"386","The Straight Story",1999,"U",112,"Biography",8,86,"David Lynch","Richard Farnsworth","Sissy Spacek","Jane Galloway Heitz","Joseph A. Carpenter",82002,6203044,386,"7.5-8","A"
"387","Pâfekuto burû",1997,"A",81,"Animation",8,79,"Satoshi Kon","Junko Iwao","Rica Matsumoto","Shinpachi Tsuji","Masaaki Ôkura",58192,776665,387,"7.5-8","B+"
"388","Festen",1998,"R",105,"Drama",8,82,"Thomas Vinterberg","Ulrich Thomsen","Henning Moritzen","Thomas Bo Larsen","Paprika Steen",78341,1647780,388,"7.5-8","B+"
"389","Central do Brasil",1998,"R",110,"Drama",8,80,"Walter Salles","Fernanda Montenegro","Vinícius de Oliveira","Marília Pêra","Soia Lira",36419,5595428,389,"7.5-8","B+"
"390","The Iron Giant",1999,"PG",86,"Animation",8,85,"Brad Bird","Eli Marienthal","Harry Connick Jr.","Jennifer Aniston","Vin Diesel",172083,23159305,390,"7.5-8","B+"
"391","Knockin' on Heaven's Door",1997,"Not rated",87,"Action",8,79,"Thomas Jahn","Til Schweiger","Jan Josef Liefers","Thierry van Werveke","Moritz Bleibtreu",27721,3296,391,"7.5-8","B+"
"392","Sling Blade",1996,"R",135,"Drama",8,84,"Billy Bob Thornton","Billy Bob Thornton","Dwight Yoakam","J.T. Walsh","John Ritter",86838,24475416,392,"7.5-8","B+"
"393","Secrets & Lies",1996,"U",136,"Comedy",8,91,"Mike Leigh","Timothy Spall","Brenda Blethyn","Phyllis Logan","Claire Rushbrook",37564,13417292,393,"7.5-8","A"
"394","Twelve Monkeys",1995,"A",129,"Mystery",8,74,"Terry Gilliam","Bruce Willis","Madeleine Stowe","Brad Pitt","Joseph Melito",578443,57141459,394,"7.5-8","B+"
"395","Kôkaku Kidôtai",1995,"UA",83,"Animation",8,76,"Mamoru Oshii","Atsuko Tanaka","Iemasa Kayumi","Akio Ôtsuka","Kôichi Yamadera",129231,515905,395,"7.5-8","B+"
"396","The Nightmare Before Christmas",1993,"U",76,"Animation",8,82,"Henry Selick","Danny Elfman","Chris Sarandon","Catherine O'Hara","William Hickey",300208,75082668,396,"7.5-8","B+"
"397","Groundhog Day",1993,"U",101,"Comedy",8,72,"Harold Ramis","Bill Murray","Andie MacDowell","Chris Elliott","Stephen Tobolowsky",577991,70906973,397,"7.5-8","B+"
"398","Bound by Honor",1993,"R",180,"Crime",8,47,"Taylor Hackford","Damian Chapa","Jesse Borrego","Benjamin Bratt","Enrique Castillo",28825,4496583,398,"7.5-8","C"
"399","Scent of a Woman",1992,"UA",156,"Drama",8,59,"Martin Brest","Al Pacino","Chris O'Donnell","James Rebhorn","Gabrielle Anwar",263918,63895607,399,"7.5-8","B"
"400","Aladdin",1992,"U",90,"Animation",8,86,"Ron Clements","John Musker","Scott Weinger","Robin Williams","Linda Larkin",373845,217350219,400,"7.5-8","A"
"401","JFK",1991,"UA",189,"Drama",8,72,"Oliver Stone","Kevin Costner","Gary Oldman","Jack Lemmon","Walter Matthau",142110,70405498,401,"7.5-8","B+"
"402","Beauty and the Beast",1991,"G",84,"Animation",8,95,"Gary Trousdale","Kirk Wise","Paige O'Hara","Robby Benson","Jesse Corti",417178,218967620,402,"7.5-8","A"
"403","Dances with Wolves",1990,"U",181,"Adventure",8,72,"Kevin Costner","Kevin Costner","Mary McDonnell","Graham Greene","Rodney A. Grant",240266,184208848,403,"7.5-8","B+"
"404","Do the Right Thing",1989,"R",120,"Comedy",8,93,"Spike Lee","Danny Aiello","Ossie Davis","Ruby Dee","Richard Edson",89429,27545445,404,"7.5-8","A"
"405","Rain Man",1988,"U",133,"Drama",8,65,"Barry Levinson","Dustin Hoffman","Tom Cruise","Valeria Golino","Gerald R. Molen",473064,178800000,405,"7.5-8","B"
"406","Akira",1988,"UA",124,"Animation",8,79,"Katsuhiro Ôtomo","Mitsuo Iwata","Nozomu Sasaki","Mami Koyama","Tesshô Genda",164918,553171,406,"7.5-8","B+"
"407","The Princess Bride",1987,"U",98,"Adventure",8,77,"Rob Reiner","Cary Elwes","Mandy Patinkin","Robin Wright","Chris Sarandon",393899,30857814,407,"7.5-8","B+"
"408","Der Himmel über Berlin",1987,"U",128,"Drama",8,79,"Wim Wenders","Bruno Ganz","Solveig Dommartin","Otto Sander","Curt Bois",64722,3333969,408,"7.5-8","B+"
"409","Au revoir les enfants",1987,"U",104,"Drama",8,88,"Louis Malle","Gaspard Manesse","Raphael Fejtö","Francine Racette","Stanislas Carré de Malberg",31163,4542825,409,"7.5-8","A"
"410","Tenkû no shiro Rapyuta",1986,"U",125,"Animation",8,78,"Hayao Miyazaki","Mayumi Tanaka","Keiko Yokozawa","Kotoe Hatsui","Minori Terada",150140,23530892,410,"7.5-8","B+"
"411","The Terminator",1984,"UA",107,"Action",8,84,"James Cameron","Arnold Schwarzenegger","Linda Hamilton","Michael Biehn","Paul Winfield",799795,38400000,411,"7.5-8","B+"
"412","Gandhi",1982,"U",191,"Biography",8,79,"Richard Attenborough","Ben Kingsley","John Gielgud","Rohini Hattangadi","Roshan Seth",217664,52767889,412,"7.5-8","B+"
"413","Kagemusha",1980,"U",180,"Drama",8,84,"Akira Kurosawa","Tatsuya Nakadai","Tsutomu Yamazaki","Ken'ichi Hagiwara","Jinpachi Nezu",32195,23530892,413,"7.5-8","B+"
"414","Being There",1979,"PG",130,"Comedy",8,83,"Hal Ashby","Peter Sellers","Shirley MacLaine","Melvyn Douglas","Jack Warden",65625,30177511,414,"7.5-8","B+"
"415","Annie Hall",1977,"A",93,"Comedy",8,92,"Woody Allen","Woody Allen","Diane Keaton","Tony Roberts","Carol Kane",251823,39200000,415,"7.5-8","A"
"416","Jaws",1975,"A",124,"Adventure",8,87,"Steven Spielberg","Roy Scheider","Robert Shaw","Richard Dreyfuss","Lorraine Gary",543388,2.6e+08,416,"7.5-8","A"
"417","Dog Day Afternoon",1975,"U",125,"Biography",8,86,"Sidney Lumet","Al Pacino","John Cazale","Penelope Allen","Sully Boyar",235652,5e+07,417,"7.5-8","A"
"418","Young Frankenstein",1974,"A",106,"Comedy",8,80,"Mel Brooks","Gene Wilder","Madeline Kahn","Marty Feldman","Peter Boyle",143359,86300000,418,"7.5-8","B+"
"419","Papillon",1973,"R",151,"Biography",8,58,"Franklin J. Schaffner","Steve McQueen","Dustin Hoffman","Victor Jory","Don Gordon",121627,53267000,419,"7.5-8","B"
"420","The Exorcist",1973,"A",122,"Horror",8,81,"William Friedkin","Ellen Burstyn","Max von Sydow","Linda Blair","Lee J. Cobb",362393,232906145,420,"7.5-8","B+"
"421","Sleuth",1972,"PG",138,"Mystery",8,79,"Joseph L. Mankiewicz","Laurence Olivier","Michael Caine","Alec Cawthorne","John Matthews",44748,4081254,421,"7.5-8","B+"
"422","The Last Picture Show",1971,"R",118,"Drama",8,93,"Peter Bogdanovich","Timothy Bottoms","Jeff Bridges","Cybill Shepherd","Ben Johnson",42456,29133000,422,"7.5-8","A"
"423","Fiddler on the Roof",1971,"G",181,"Drama",8,67,"Norman Jewison","Topol","Norma Crane","Leonard Frey","Molly Picon",39491,80500000,423,"7.5-8","B"
"424","Il conformista",1970,"UA",113,"Drama",8,100,"Bernardo Bertolucci","Jean-Louis Trintignant","Stefania Sandrelli","Gastone Moschin","Enzo Tarascio",27067,541940,424,"7.5-8","A"
"425","Butch Cassidy and the Sundance Kid",1969,"PG",110,"Biography",8,66,"George Roy Hill","Paul Newman","Robert Redford","Katharine Ross","Strother Martin",201888,102308889,425,"7.5-8","B"
"426","Rosemary's Baby",1968,"A",137,"Drama",8,96,"Roman Polanski","Mia Farrow","John Cassavetes","Ruth Gordon","Sidney Blackmer",193674,23530892,426,"7.5-8","A"
"427","Planet of the Apes",1968,"U",112,"Adventure",8,79,"Franklin J. Schaffner","Charlton Heston","Roddy McDowall","Kim Hunter","Maurice Evans",165167,33395426,427,"7.5-8","B+"
"428","The Graduate",1967,"A",106,"Comedy",8,83,"Mike Nichols","Dustin Hoffman","Anne Bancroft","Katharine Ross","William Daniels",253676,104945305,428,"7.5-8","B+"
"429","Who's Afraid of Virginia Woolf?",1966,"A",131,"Drama",8,75,"Mike Nichols","Elizabeth Taylor","Richard Burton","George Segal","Sandy Dennis",68926,23530892,429,"7.5-8","B+"
"430","The Sound of Music",1965,"U",172,"Biography",8,63,"Robert Wise","Julie Andrews","Christopher Plummer","Eleanor Parker","Richard Haydn",205425,163214286,430,"7.5-8","B"
"431","Doctor Zhivago",1965,"A",197,"Drama",8,69,"David Lean","Omar Sharif","Julie Christie","Geraldine Chaplin","Rod Steiger",69903,111722000,431,"7.5-8","B"
"432","Per un pugno di dollari",1964,"A",99,"Action",8,65,"Sergio Leone","Clint Eastwood","Gian Maria Volontè","Marianne Koch","Wolfgang Lukschy",198219,14500000,432,"7.5-8","B"
"433","8½",1963,"Not rated",138,"Drama",8,91,"Federico Fellini","Marcello Mastroianni","Anouk Aimée","Claudia Cardinale","Sandra Milo",108844,50690,433,"7.5-8","A"
"434","Vivre sa vie: Film en douze tableaux",1962,"Not rated",80,"Drama",8,79,"Jean-Luc Godard","Anna Karina","Sady Rebbot","André S. Labarthe","Guylaine Schlumberger",28057,23530892,434,"7.5-8","B+"
"435","The Hustler",1961,"A",134,"Drama",8,90,"Robert Rossen","Paul Newman","Jackie Gleason","Piper Laurie","George C. Scott",75067,8284000,435,"7.5-8","A"
"436","La dolce vita",1960,"A",174,"Comedy",8,95,"Federico Fellini","Marcello Mastroianni","Anita Ekberg","Anouk Aimée","Yvonne Furneaux",66621,19516000,436,"7.5-8","A"
"437","Rio Bravo",1959,"Passed",141,"Action",8,93,"Howard Hawks","John Wayne","Dean Martin","Ricky Nelson","Angie Dickinson",56305,12535000,437,"7.5-8","A"
"438","Anatomy of a Murder",1959,"Not rated",161,"Crime",8,95,"Otto Preminger","James Stewart","Lee Remick","Ben Gazzara","Arthur O'Connell",59847,11900000,438,"7.5-8","A"
"439","Touch of Evil",1958,"PG-13",95,"Crime",8,99,"Orson Welles","Charlton Heston","Orson Welles","Janet Leigh","Joseph Calleia",98431,2237659,439,"7.5-8","A"
"440","Cat on a Hot Tin Roof",1958,"A",108,"Drama",8,84,"Richard Brooks","Elizabeth Taylor","Paul Newman","Burl Ives","Jack Carson",45062,17570324,440,"7.5-8","B+"
"441","Sweet Smell of Success",1957,"Approved",96,"Drama",8,100,"Alexander Mackendrick","Burt Lancaster","Tony Curtis","Susan Harrison","Martin Milner",28137,23530892,441,"7.5-8","A"
"442","The Killing",1956,"Approved",84,"Crime",8,91,"Stanley Kubrick","Sterling Hayden","Coleen Gray","Vince Edwards","Jay C. Flippen",81702,23530892,442,"7.5-8","A"
"443","The Night of the Hunter",1955,"Not rated",92,"Crime",8,99,"Charles Laughton","Robert Mitchum","Shelley Winters","Lillian Gish","James Gleason",81980,654000,443,"7.5-8","A"
"444","La Strada",1954,"Not rated",108,"Drama",8,79,"Federico Fellini","Anthony Quinn","Giulietta Masina","Richard Basehart","Aldo Silvani",58314,23530892,444,"7.5-8","B+"
"445","Les diaboliques",1955,"Not rated",117,"Crime",8,79,"Henri-Georges Clouzot","Simone Signoret","Véra Clouzot","Paul Meurisse","Charles Vanel",61503,23530892,445,"7.5-8","B+"
"446","Stalag 17",1953,"Not rated",120,"Comedy",8,84,"Billy Wilder","William Holden","Don Taylor","Otto Preminger","Robert Strauss",51046,23530892,446,"7.5-8","B+"
"447","Roman Holiday",1953,"Not rated",118,"Comedy",8,78,"William Wyler","Gregory Peck","Audrey Hepburn","Eddie Albert","Hartley Power",127256,23530892,447,"7.5-8","B+"
"448","A Streetcar Named Desire",1951,"A",122,"Drama",8,97,"Elia Kazan","Vivien Leigh","Marlon Brando","Kim Hunter","Karl Malden",99182,8e+06,448,"7.5-8","A"
"449","In a Lonely Place",1950,"Not rated",94,"Drama",8,79,"Nicholas Ray","Humphrey Bogart","Gloria Grahame","Frank Lovejoy","Carl Benton Reid",26784,23530892,449,"7.5-8","B+"
"450","Kind Hearts and Coronets",1949,"U",106,"Comedy",8,79,"Robert Hamer","Dennis Price","Alec Guinness","Valerie Hobson","Joan Greenwood",34485,23530892,450,"7.5-8","B+"
"451","Rope",1948,"A",80,"Crime",8,73,"Alfred Hitchcock","James Stewart","John Dall","Farley Granger","Dick Hogan",129783,23530892,451,"7.5-8","B+"
"452","Out of the Past",1947,"Not rated",97,"Crime",8,79,"Jacques Tourneur","Robert Mitchum","Jane Greer","Kirk Douglas","Rhonda Fleming",32784,23530892,452,"7.5-8","B+"
"453","Brief Encounter",1945,"U",86,"Drama",8,92,"David Lean","Celia Johnson","Trevor Howard","Stanley Holloway","Joyce Carey",35601,23530892,453,"7.5-8","A"
"454","Laura",1944,"Passed",88,"Drama",8,79,"Otto Preminger","Gene Tierney","Dana Andrews","Clifton Webb","Vincent Price",42725,4360000,454,"7.5-8","B+"
"455","The Best Years of Our Lives",1946,"Approved",170,"Drama",8,93,"William Wyler","Myrna Loy","Dana Andrews","Fredric March","Teresa Wright",57259,23650000,455,"7.5-8","A"
"456","Arsenic and Old Lace",1942,"Not rated",118,"Comedy",8,79,"Frank Capra","Cary Grant","Priscilla Lane","Raymond Massey","Jack Carson",65101,23530892,456,"7.5-8","B+"
"457","The Maltese Falcon",1941,"Not rated",100,"Film-Noir",8,96,"John Huston","Humphrey Bogart","Mary Astor","Gladys George","Peter Lorre",148928,2108060,457,"7.5-8","A"
"458","The Grapes of Wrath",1940,"Passed",129,"Drama",8,96,"John Ford","Henry Fonda","Jane Darwell","John Carradine","Charley Grapewin",85559,55000,458,"7.5-8","A"
"459","The Wizard of Oz",1939,"U",102,"Adventure",8,92,"Victor Fleming","George Cukor","Mervyn LeRoy","Norman Taurog","Richard Thorpe",371379,2076020,459,"7.5-8","A"
"460","La règle du jeu",1939,"Not rated",110,"Comedy",8,79,"Jean Renoir","Marcel Dalio","Nora Gregor","Paulette Dubost","Mila Parély",26725,23530892,460,"7.5-8","B+"
"461","The Thin Man",1934,"TV-PG",91,"Comedy",8,86,"W.S. Van Dyke","William Powell","Myrna Loy","Maureen O'Sullivan","Nat Pendleton",26642,23530892,461,"7.5-8","A"
"462","All Quiet on the Western Front",1930,"U",152,"Drama",8,91,"Lewis Milestone","Lew Ayres","Louis Wolheim","John Wray","Arnold Lucy",57318,3270000,462,"7.5-8","A"
"463","Bronenosets Potemkin",1925,"Not rated",75,"Drama",8,97,"Sergei M. Eisenstein","Aleksandr Antonov","Vladimir Barskiy","Grigoriy Aleksandrov","Ivan Bobrov",53054,50970,463,"7.5-8","A"
"464","Knives Out",2019,"UA",130,"Comedy",7.9,82,"Rian Johnson","Daniel Craig","Chris Evans","Ana de Armas","Jamie Lee Curtis",454203,165359751,464,"7.5-8","B+"
"465","Dil Bechara",2020,"UA",101,"Comedy",7.9,79,"Mukesh Chhabra","Sushant Singh Rajput","Sanjana Sanghi","Sahil Vaid","Saswata Chatterjee",111478,23530892,465,"7.5-8","B+"
"466","Manbiki kazoku",2018,"A",121,"Crime",7.9,93,"Hirokazu Koreeda","Lily Franky","Sakura Andô","Kirin Kiki","Mayu Matsuoka",62754,3313513,466,"7.5-8","A"
"467","Marriage Story",2019,"U",137,"Comedy",7.9,94,"Noah Baumbach","Adam Driver","Scarlett Johansson","Julia Greer","Azhy Robertson",246644,2e+06,467,"7.5-8","A"
